node_1|node_2|edge|chunk_id
atomic habits|habit formation|The author relied on small habits to overcome injury and achieve success in various areas of life. The book offers a step-by-step plan for building better habits for a lifetime, focusing on the science of habit creation and change. This book draws from biology, neuroscience, philosophy, and psychology, presenting a synthesis of established ideas and recent scientific discoveries. The core of the book is a four-step model of habits: cue, craving, response, and reward.|56dd4d06693e49359645da7b2077ad70
atomic habits|james clear|The author of 'Atomic Habits' is James Clear.|56dd4d06693e49359645da7b2077ad70
habit formation|small habits|The author relied on small habits to overcome injury and achieve success in various areas of life, as mentioned in 'Introduction to Habit Formation'.|56dd4d06693e49359645da7b2077ad70
habit formation|behavior change|The book offers a step-by-step plan for building better habits for a lifetime, as mentioned in 'Introduction to Habit Formation'. This book also covers four laws of behavior change derived from the steps of cue, craving, response, and reward.|56dd4d06693e49359645da7b2077ad70
skinner's operant conditioning|cue, craving, response, reward|The author's model builds upon B.F. Skinner's operant conditioning and Charles Duhigg's work on habit formation.|56dd4d06693e49359645da7b2077ad70
duhigg's habit formation model|cue, routine, reward|The author's contribution is to find ideas that matter most and connect them in an actionable way. This model is influenced by Charles Duhigg's 'cue, routine, reward' concepts.|56dd4d06693e49359645da7b2077ad70
habit formation|small habits|The user's notes highlight the importance of small habits in the context of habit formation.|8c781f8eb86447ad8f36be4dc492ae7a
four-step model|core concepts|The user's notes focus on the core concepts, which include the four-step model for habit formation.|8c781f8eb86447ad8f36be4dc492ae7a
historical context|habit research|The reader has highlighted the historical context of habit research in the notes.|8c781f8eb86447ad8f36be4dc492ae7a
interdisciplinary approach|book's nature|The user's notes have missed some details about the book's interdisciplinary approach and practical, non-academic nature.|8c781f8eb86447ad8f36be4dc492ae7a
temptation bundling|premack's principle|The page content explains that temptation bundling is a way to apply Premack's Principle for behavior change strategies.|8c781f8eb86447ad8f36be4dc492ae7a
habit stacking|formula|When combined with temptation bundling, habit stacking creates effective behavior change strategies, as shown in the formula provided in the page content.|8c781f8eb86447ad8f36be4dc492ae7a
